# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1553133091.3352232} 
r,l,t
-36.22402,150,2.716535
-7.981767,150,3.52244
-23.893992,150,4.340655
-29.855757,150,5.138173
-4.145274,150,5.955847
-25.915307,150,6.891277
-4.738944,150,7.88392
-24.719345,150,8.849666
-20.615951,150,9.813431
-28.195311,150,10.850963
-33.702298,150,11.856187
-39.748315,150,13.021382
-23.821374,150,14.07511
-13.342825,150,18.266635
-20.600367,150,19.415669
-36.591366,150,20.74575
-39.944275,150,22.013382
-9.747175,150,23.510037
-5.800942,150,24.991912
-29.076333,150,26.377416
0.033791,150,27.702789
-1.07265,150,29.10555
3.699581,150,30.429808
-24.768805,150,31.807072
-7.651964,150,33.102886
-14.071992,150,34.654902
-33.395565,150,36.024939
-36.138887,150,41.031918
-16.96742,150,42.296434
-10.06828,150,43.584156
-28.391356,150,44.992179
-13.090492,150,46.165272
-34.085819,150,47.36551
-4.51416,150,48.606602
-4.128606,150,50.128502
-46.168885,150,51.434967
0.860312,150,52.696757
-14.654322,150,53.985092
-32.64827,150,55.480187
-17.370076,150,56.925618
-12.409979,150,61.855061
-10.984605,150,63.20277
-11.151043,150,64.480536
3.39712,150,65.931533
-4.394577,150,67.215538
-11.678447,150,68.596475
-12.33504,150,69.982908
-5.855135,150,71.575223
-3.433007,150,72.994358
-8.966765,150,74.299048
-6.566356,150,75.564073
-17.237882,150,76.836135
-17.009282,150,78.037136
-13.618624,150,79.351405
-7.974332,150,84.444192
-32.335008,150,85.660864
-15.310151,150,87.154045
-20.278542,150,88.519774
1.951227,150,89.897652
-3.043049,150,91.341596
-16.80159,150,92.799415
-28.734129,150,94.293883
-9.259378,150,95.744509
-14.252409,150,97.150836
6.39395,150,98.429639
-15.127761,150,99.757463
-5.02734,150,101.050376
-3.714291,150,102.437508
-22.33065,150,107.096773
-10.990718,150,108.416499
-23.371698,150,109.679606
-17.298148,150,111.066126
15.549929,150,112.427135
-23.364507,150,113.884174
-21.180592,150,115.245312
-15.311276,150,116.756766
3.45848,150,118.181657
14.062733,150,119.530281
-3.691263,150,120.858935
-18.797536,150,122.206283
-38.101187,150,123.588565
-13.309594,150,128.471777
7.041543,150,129.814399
-21.840469,150,131.053636
-8.121251,150,132.389794
-12.600284,150,133.677245
-11.233343,150,134.946721
-29.183918,150,136.170368
-6.20575,150,137.504317
-47.699772,150,138.842946
0.814778,150,140.280438
-4.716756,150,141.550587
-10.560422,150,142.829852
-25.145628,150,144.154596
-8.318077,150,145.606271
-3.556396,150,150.668241
-13.393032,150,151.90803
15.881833,150,153.195003
2.380872,150,154.594059
-15.004971,150,156.088886
-8.896247,150,157.527503
-23.290002,150,158.915173
-10.554945,150,160.249829
0.376229,150,161.748412
5.657144,150,163.010823
-11.766206,150,164.191789
-12.243402,150,165.359593
-4.643677,150,166.746809
-7.931162,150,168.012551
-6.959949,150,172.851562
-17.81792,150,174.11004
-23.661198,150,175.456254
-8.584312,150,177.009198
-8.577789,150,178.370721
4.699517,150,179.739512
-12.125215,150,181.111804
-12.252238,150,182.640538
9.797139,150,184.068996
-1.855228,150,185.423287
-12.995349,150,186.785169
-16.682196,150,188.168434
-10.467175,150,189.563054
-7.697288,150,194.157265
-4.545689,150,195.377863
11.493826,150,196.672476
5.746883,150,198.07055
-22.885304,150,199.384865
-10.407804,150,200.685223
9.834493,150,202.00276
-12.314107,150,203.448785
21.395965,150,204.916279
-8.95607,150,206.279648
-16.889331,150,207.610326
9.063734,150,208.940093
-15.003467,150,210.282006
-11.574528,150,211.633947
-10.888448,150,216.384021
-32.06607,150,217.791272
-0.839017,150,219.294481
-5.277743,150,220.54575
13.711456,150,221.706146
0.459649,150,222.896121
3.099988,150,224.286883
-9.972051,150,225.747372
-22.322242,150,227.048253
-3.25849,150,228.334281
-7.772416,150,229.777493
-5.766333,150,231.155572
-10.19833,150,232.643139
12.281092,150,234.064908
-7.92032,150,238.934071
-6.258916,150,240.47444
2.164877,150,241.955588
4.110942,150,243.410297
8.436038,150,244.855773
7.170964,150,246.2227
14.646739,150,247.515733
-17.830054,150,248.896004
-9.609961,150,250.086042
9.092303,150,251.306088
-11.907134,150,252.456445
7.348731,150,253.848154
17.89356,150,255.20045
-3.513668,150,260.09251
4.094394,150,261.560452
-21.193553,150,262.97165
2.119629,150,264.29219
21.785441,150,265.625532
-1.056226,150,267.208134
-3.174281,150,268.58923
-18.180557,150,269.956391
-4.626326,150,271.276401
13.905308,150,272.695028
-30.497808,150,274.105157
-1.055403,150,275.503281
17.587636,150,277.015943
21.889892,150,278.513191
1.205375,150,283.111281
4.57603,150,284.456094
9.030139,150,285.884943
-19.894288,150,287.333428
-5.595099,150,288.839999
14.947596,150,290.226594
17.772234,150,291.727317
10.708339,150,293.057402
-8.625295,150,294.519802
8.957079,150,295.768165
-11.153065,150,297.184268
5.037957,150,298.485603
-11.996732,150,299.864404
-7.388412,150,301.202956
-8.924434,150,306.051284
-1.537167,150,307.365399
-11.88854,150,308.633784
7.24759,150,309.816977
-2.366267,150,311.021457
-11.64421,150,312.189598
1.641118,150,313.491615
-4.208932,150,314.859382
0.985924,150,316.209809
8.051294,150,317.475875
21.484444,150,318.854605
-8.386081,150,320.331299
8.229068,150,321.616111
-8.170767,150,326.624974
-15.916768,150,327.972915
1.098949,150,329.28412
16.548687,150,330.772386
8.558263,150,332.116639
6.630271,150,333.448801
24.553939,150,334.840319
-3.099957,150,336.231482
-2.53072,150,337.6085
-5.450639,150,338.781475
3.224603,150,339.975738
13.433,150,341.303132
18.329246,150,342.708004
8.772948,150,344.036137
-10.86621,150,349.065856
6.248635,150,350.335572
-4.853181,150,351.743839
-2.502127,150,353.124373
6.81322,150,354.495958
6.059085,150,355.86437
-8.544459,150,357.493415
-2.887985,150,358.861398
-0.725947,150,360.15794
22.424898,150,361.468433
-0.730448,150,362.843191
-7.367731,150,364.150342
-0.317754,150,365.456301
11.092247,150,366.760928
8.826662,150,371.23454
7.965701,150,372.591973
13.290513,150,374.017093
3.863325,150,375.433853
10.560187,150,376.79415
0.999913,150,378.184082
9.537172,150,379.601134
4.48683,150,380.893481
-12.232791,150,382.162963
12.249252,150,383.520094
16.341842,150,384.813828
20.878833,150,386.183068
4.601796,150,387.532859
-11.215124,150,392.275219
-1.944962,150,393.693356
-2.601633,150,395.186239
-3.557362,150,396.46734
8.791981,150,397.656879
10.50102,150,398.783614
13.437374,150,400.153244
10.882956,150,401.505125
-10.367135,150,402.783486
10.521705,150,404.062545
7.374849,150,405.451617
17.942389,150,406.857626
3.923158,150,408.107126
12.893215,150,409.390513
-11.99351,150,414.270694
6.055338,150,415.688491
21.102807,150,417.152489
-11.638384,150,418.544419
18.217087,150,419.836668
10.839674,150,421.329664
20.888425,150,422.664573
18.091826,150,424.024338
10.513353,150,425.200565
3.078588,150,426.459499
24.444497,150,427.651139
-2.446478,150,428.978554
-8.786469,150,430.239716
28.137553,150,431.625148
-4.673384,150,436.603479
5.442614,150,437.964303
23.212782,150,439.329841
-4.398656,150,440.745
10.492789,150,442.116968
12.226035,150,443.361664
9.156273,150,444.783768
-1.372642,150,446.093705
9.68328,150,447.444851
13.052653,150,448.72808
22.349897,150,450.00424
4.628651,150,451.253651
17.088559,150,452.594998
-0.685686,150,457.007029
23.303048,150,458.440042
4.925541,150,459.773265
13.061234,150,461.127889
19.511965,150,462.490101
5.352781,150,463.969259
-6.656595,150,465.282565
1.955055,150,466.580249
7.562646,150,467.882913
11.644852,150,469.162303
5.805798,150,470.421123
2.033161,150,471.687788
1.048091,150,472.894424
11.317262,150,474.221047
2.382998,150,479.149247
8.752241,150,480.457795
32.72815,150,481.822336
9.018098,150,483.082695
18.166865,150,484.330382
15.857772,150,485.475738
19.401899,150,486.758439
9.119075,150,488.021758
7.50717,150,489.330027
25.74706,150,490.588133
12.51352,150,491.892349
10.629544,150,493.162658
-3.539797,150,494.404842
4.886532,150,495.790153
8.151918,150,500.653831
16.365621,150,501.994743
27.898433,150,503.345263
-0.806999,150,504.712134
17.628207,150,506.21104
12.783802,150,507.652271
8.809438,150,508.99176
24.333036,150,510.335423
16.062328,150,511.633403
9.996555,150,512.805944
4.270758,150,513.982653
-3.147769,150,515.211386
3.977304,150,516.601542
7.87822,150,521.583473
-3.527154,150,522.927295
16.967405,150,524.253045
10.947035,150,525.671025
16.670119,150,527.145756
7.08207,150,528.511881
13.188045,150,529.914386
10.347531,150,531.267876
13.380538,150,532.662271
7.599385,150,533.939166
15.195501,150,535.189419
7.05384,150,536.538693
19.328339,150,537.878221
9.75767,150,539.10236
25.755315,150,543.78614
2.767228,150,545.120093
14.377336,150,546.488103
-0.483143,150,547.983716
9.734177,150,549.384653
12.387688,150,550.783482
12.722786,150,552.156876
4.033064,150,553.551044
10.553458,150,554.792864
13.78328,150,556.099797
11.943604,150,557.437739
-7.031889,150,558.807301
-2.441956,150,560.06613
1.972282,150,565.087593
16.793837,150,566.637617
31.612574,150,568.054252
22.506663,150,569.516859
11.436985,150,570.750399
13.167548,150,571.93721
10.705323,150,573.177411
18.742292,150,574.719926
3.634413,150,575.927223
19.135049,150,577.173251
8.219613,150,578.456931
13.330809,150,579.822536
29.269237,150,581.11495
17.518052,150,582.394186
3.752858,150,587.372573
1.974259,150,588.841854
21.702016,150,590.378922
25.402115,150,591.696149
-3.106782,150,593.01205
5.590859,150,594.385098
0.503539,150,595.864462
10.769397,150,597.343764
8.772672,150,598.64711
7.732167,150,599.771619
19.149115,150,600.965307
11.458281,150,602.136229
12.163362,150,603.462321
5.256551,150,605.00748
8.630334,150,609.997202
21.086806,150,611.488471
22.049064,150,613.001057
-2.588819,150,614.361208
21.365796,150,615.750388
16.361275,150,617.215772
-0.883136,150,618.646589
10.032402,150,619.990177
19.315584,150,621.30944
25.621771,150,622.649618
2.588762,150,624.014214
1.123138,150,625.40153
0.862506,150,627.134506
6.519535,150,631.902112
2.005131,150,633.26687
22.828963,150,634.588521
7.084917,150,635.995081
10.444516,150,637.320626
15.526458,150,638.723217
2.994236,150,640.144577
4.857581,150,641.495427
-4.069339,150,642.832569
32.776144,150,644.078375
19.387653,150,645.336116
3.29365,150,646.654912
12.22611,150,647.982789
31.187473,150,649.463806
11.099984,150,654.324345
-3.340769,150,655.721936
-2.457167,150,657.160554
21.632345,150,658.492626
25.361929,150,659.764619
30.515267,150,660.994359
21.580039,150,662.22696
22.082214,150,663.545914
26.655561,150,664.951628
11.297506,150,666.256532
10.115348,150,667.598267
20.639025,150,668.9297
16.189889,150,670.368969
12.104655,150,671.646566
16.687297,150,676.534559
26.971928,150,677.861923
4.669486,150,679.266131
11.804554,150,680.749479
-3.402215,150,682.126018
16.375328,150,683.46839
27.094089,150,684.831192
32.534125,150,686.343
18.427895,150,687.593693
-2.195634,150,688.692604
17.214335,150,689.792441
10.827951,150,691.172628
6.494668,150,692.57614
9.705933,150,697.563077
16.974808,150,698.950756
-5.592432,150,700.3168
4.654151,150,701.735295
22.094263,150,703.083937
27.778698,150,704.420864
-10.451782,150,705.704865
3.371052,150,707.143108
12.176487,150,708.540259
15.4362,150,709.781575
30.934532,150,711.020436
18.879846,150,712.348506
12.53624,150,713.714779
13.210773,150,715.037852
15.753465,150,719.741907
14.113333,150,721.022625
11.329855,150,722.457333
14.975129,150,723.861824
23.56605,150,725.307396
4.436267,150,726.78653
15.772352,150,728.233227
0.282154,150,729.483437
2.599006,150,730.716204
16.88287,150,731.935587
30.272875,150,733.237865
17.626215,150,734.556267
12.635504,150,735.889647
10.836207,150,737.278421
18.800853,150,742.158903
33.572355,150,743.595186
7.482268,150,744.93689
16.319005,150,746.319268
3.137369,150,747.53695
15.019669,150,748.79575
29.802191,150,750.003974
2.262779,150,751.305073
5.639435,150,752.552747
31.229244,150,753.907426
11.719852,150,755.273763
-0.495489,150,756.614951
-0.894144,150,757.916635
14.412346,150,762.976968
-3.975349,150,764.471821
12.83876,150,766.008622
31.019546,150,767.471758
26.699588,150,768.85892
12.374029,150,770.293399
27.749931,150,771.660938
11.024992,150,772.965547
24.195631,150,774.291601
16.893657,150,775.629314
8.009912,150,776.807362
33.263293,150,777.937378
32.85622,150,779.238322
15.47028,150,780.642136
3.545848,150,785.561378
-1.276843,150,786.968198
8.229679,150,788.308128
27.54824,150,789.683532
1.395283,150,791.181654
29.230578,150,792.56244
2.387084,150,793.914231
20.416256,150,795.217457
-1.687841,150,796.613309
12.635971,150,797.849513
21.428898,150,799.13774
-0.937841,150,800.462052
22.740662,150,801.877696
16.904561,150,803.238653
21.768289,150,807.927428
18.778154,150,809.287492
23.115432,150,810.656829
20.116262,150,812.092539
5.102617,150,813.486095
21.322637,150,814.764621
34.902449,150,816.088091
20.675988,150,817.353734
31.23623,150,818.666815
24.98671,150,819.922081
6.329579,150,821.200578
2.937633,150,822.542212
13.123005,150,824.034187
21.188157,150,828.876105
-2.074989,150,830.251501
13.30467,150,831.618141
24.59846,150,832.998831
22.027562,150,834.274493
25.13413,150,835.42318
1.493952,150,836.672566
6.236671,150,837.927887
29.670608,150,839.239794
18.640678,150,840.516317
20.232631,150,841.876219
5.007053,150,843.283077
8.2272,150,844.716445
10.274185,150,846.039377
9.480039,150,851.019671
18.413523,150,852.396351
14.280723,150,853.823488
4.690201,150,855.310655
32.450769,150,856.653546
20.509258,150,858.001602
17.250837,150,859.331648
16.330034,150,860.607969
12.986562,150,861.873264
35.169588,150,862.943333
11.056584,150,864.066068
17.856159,150,865.38803
14.892773,150,866.693667
7.013382,150,868.07349
15.598568,150,872.746112
14.208104,150,874.179147
24.103626,150,875.533862
3.112155,150,876.946793
17.30924,150,878.259284
21.244484,150,879.579738
25.873523,150,880.931695
26.030315,150,882.312015
22.032091,150,883.50405
16.143395,150,884.820264
11.34697,150,886.151228
25.073332,150,887.603948
0.883676,150,888.937795
9.865647,150,893.671006
18.423385,150,894.980411
9.835584,150,896.298231
3.121531,150,897.738679
20.631879,150,899.079559
3.106061,150,900.5347
31.806811,150,901.863633
2.709304,150,903.305705
14.403018,150,904.725251
12.349946,150,905.98527
15.818376,150,907.2876
10.008812,150,908.730221
28.454492,150,910.031787
31.270219,150,911.391201
4.574203,150,916.235441
16.583765,150,917.653512
3.490566,150,919.043355
10.347637,150,920.216558
1.082128,150,921.419813
2.520927,150,922.673232
11.334189,150,924.225785
33.354471,150,925.614426
14.099996,150,926.946548
16.84158,150,928.194678
14.213835,150,929.641195
11.636986,150,930.967471
26.941138,150,932.335739
30.31164,150,933.694645
26.223112,150,938.743358
7.091437,150,940.181419
6.787862,150,941.63985
15.378874,150,943.087139
1.10799,150,944.509257
15.644912,150,945.99674
33.793986,150,947.443586
32.652796,150,948.716129
19.510967,150,949.836719
2.172597,150,951.00488
1.058306,150,952.165856
11.301735,150,953.521284
-3.243369,150,954.797065
14.61874,150,959.32831
12.167723,150,960.745396
0.033438,150,962.070238
16.101897,150,963.58524
14.694539,150,964.979344
26.519374,150,966.489372
20.032051,150,967.793391
21.352407,150,969.080458
7.138965,150,970.426068
-1.069849,150,971.737815
0.352768,150,972.943936
9.208814,150,974.301777
24.657616,150,975.734463
4.880347,150,977.154482
26.088093,150,981.703031
6.130124,150,983.128131
11.167811,150,984.505703
11.046861,150,985.885301
12.562114,150,987.282855
15.588264,150,988.722924
33.870817,150,990.057042
8.950211,150,991.311345
33.631821,150,992.546831
15.203546,150,993.903412
14.049844,150,995.177615
-1.623908,150,996.596548
18.682189,150,998.186157
7.881547,150,999.563207
13.910639,150,1004.526661
20.278583,150,1005.981678
1.885739,150,1007.19252
31.078056,150,1008.412053
6.591911,150,1009.761652
15.132812,150,1011.2057
11.765498,150,1012.55108
15.501178,150,1014.029627
20.018063,150,1015.322122
4.080692,150,1016.823511
15.143851,150,1018.345726
14.440986,150,1020.048043
27.302002,150,1021.641785
24.069871,150,1026.914495
5.702069,150,1028.431597
11.139012,150,1029.839456
35.808561,150,1031.440408
15.189552,150,1032.957983
15.851149,150,1034.35201
4.420381,150,1035.781608
-0.992799,150,1037.047471
12.031791,150,1038.293311
8.770265,150,1039.370698
26.589072,150,1040.547304
16.758725,150,1041.783492
1.446002,150,1043.192282
20.905456,150,1044.570431
13.519405,150,1049.366937
5.111187,150,1050.692119
-1.265675,150,1052.069621
20.614574,150,1053.425235
6.652719,150,1054.802011
22.770749,150,1056.17209
10.856925,150,1057.616399
10.949022,150,1059.001086
15.059768,150,1060.336169
12.026074,150,1061.647133
27.469943,150,1062.93663
11.948087,150,1064.221553
7.072878,150,1065.612933
8.199823,150,1067.035959
20.3169,150,1071.509156
23.164563,150,1072.979625
23.764176,150,1074.338325
18.442223,150,1075.687116
14.815498,150,1077.096097
8.380923,150,1078.552643
9.148597,150,1079.854523
16.530136,150,1081.158032
36.313655,150,1082.456538
5.081625,150,1083.855345
19.709833,150,1085.224282
15.994582,150,1086.528493
7.775327,150,1087.918191
13.377702,150,1092.956316
6.01525,150,1094.395939
20.945341,150,1095.689073
19.808558,150,1096.825556
24.077014,150,1097.978688
16.782662,150,1099.273254
1.112307,150,1100.595684
15.624728,150,1101.883317
20.596169,150,1103.341331
5.004243,150,1104.728453
20.57645,150,1106.083365
6.95137,150,1107.374822
33.741876,150,1108.750142
29.846652,150,1110.194185
-0.639957,150,1115.245387
14.49853,150,1116.664048
11.097405,150,1117.997723
2.739071,150,1119.37907
0.145239,150,1120.91495
30.032135,150,1122.262958
22.304108,150,1123.615127
15.496031,150,1124.909935
23.630358,150,1126.206933
21.442915,150,1127.371663
20.381376,150,1128.653231
11.720156,150,1129.97446
34.047713,150,1131.420932
14.411794,150,1136.352138
14.990444,150,1137.757454
5.003666,150,1139.103496
15.176746,150,1140.478653
25.502282,150,1142.021149
1.746198,150,1143.475697
12.419871,150,1144.876537
8.779925,150,1146.307061
21.700205,150,1147.797804
14.611366,150,1149.308361
11.448856,150,1150.626977
32.013818,150,1152.054497
9.267498,150,1153.464491
11.263964,150,1154.830453
36.504971,150,1159.982607
8.479361,150,1161.324033
12.968733,150,1162.845811
24.050087,150,1164.330428
9.759749,150,1165.833049
1.716221,150,1167.337302
14.316095,150,1168.798218
20.756562,150,1170.312819
36.665823,150,1171.883934
16.667578,150,1173.373278
3.997138,150,1174.907977
14.745478,150,1176.540648
16.654468,150,1178.117265
8.484151,150,1179.765593
30.817896,150,1185.349966
